GID,SampleID,number,colldate,flowering_season_start,growing_season_start,elevation,latitude,longitude,dist
G29061,SEEDGWAS1839,CIMMYTMA-025300,,7,5,1111,22.333956,-100.265107,6.67234855928533
G29071,SEEDGWAS1723,CIMMYTMA-025306,1977-01-01,7,5,993,17.528084,-96.831814,0.9038255115065
G29076,SEEDGWAS513,CIMMYTMA-025307,1977-01-01,7,5,993,17.528084,-96.831814,0.9038255115065
G29093,SEEDGWAS1724,NA,NA,NA,NA,NA,NA,NA,NA
G29095,SEEDGWAS1725,CIMMYTMA-025311,1977-01-01,7,5,1341,17.16,-95.78,0.211081637709206
G29097,SEEDGWAS1726,CIMMYTMA-025312,1977-01-01,7,5,1341,17.16,-95.78,0.211081637709206
G29099,SEEDGWAS1727,CIMMYTMA-025313,1977-01-01,7,5,1341,17.16,-95.78,0.211081637709206
G291,SEEDGWAS3793,NA,NA,NA,NA,NA,NA,NA,NA
G29102,SEEDGWAS1728,CIMMYTMA-025314,1977-01-01,7,5,1341,17.16,-95.78,0.211081637709206
G29103,SEEDGWAS514,NA,NA,NA,NA,NA,NA,NA,NA
G29106,SEEDGWAS515,NA,NA,NA,NA,NA,NA,NA,NA
G29108,SEEDGWAS3659,CIMMYTMA-025321,1973-11-22,7,5,1333,18.4,-99.78,3.97680239611902
G29109,SEEDGWAS3346,CIMMYTMA-025477,1977-01-01,4,2,238,-37.47,-61.92,64.4278061293241
G29110,SEEDGWAS4271,CIMMYTMA-025488,1977-01-01,4,2,215,-38.16666667,-62.38333333,64.7786510065358
G29111,SEEDGWAS516,CIMMYTMA-025502,1980-01-01,4,2,48,-30.65,-58.02,61.0936368385266
G29118,SEEDGWAS517,CIMMYTMA-025514,1980-01-01,4,2,56,-31.485417,-59.227485,61.0154517162838
G29120,SEEDGWAS518,CIMMYTMA-025521,1980-01-01,4,2,75,-29.08,-58.98,59.2674280563766
G29122,SEEDGWAS2262,CIMMYTMA-025535,1980-01-01,4,2,112,-27.33333333,-55.8,59.9950229635083
G29128,SEEDGWAS4030,CIMMYTMA-025539,1980-01-01,5,3,234,-27.33333333,-54.71666667,60.7259440387266
G29135,SEEDGWAS1729,CIMMYTMA-025554,1980-01-01,3,1,83,-26.355818,-59.55763,56.792546061252
G29137,SEEDGWAS1730,CIMMYTMA-025555,1980-01-01,3,1,83,-26.355818,-59.55763,56.792546061252
G29145,SEEDGWAS519,CIMMYTMA-025560,1980-01-01,2,12,106,-26.7,-60.83333333,56.2511876958157
G29146,SEEDGWAS520,CIMMYTMA-025561,1980-01-01,2,12,92,-26.87,-60.45,56.6237755828572
G29148,SEEDGWAS521,CIMMYTMA-025562,1980-01-01,2,12,92,-26.87,-60.45,56.6237755828572
G29149,SEEDGWAS2263,CIMMYTMA-025564,1980-01-01,2,12,106,-26.58333333,-60.71666667,56.233244463925
G29150,SEEDGWAS3347,CIMMYTMA-025565,,2,12,111,-25.95,-60.62,55.8025667936322
G29153,SEEDGWAS1731,CIMMYTMA-025567,1980-01-01,2,12,98,-27.13333333,-61.13333333,56.404299537092
G29155,SEEDGWAS522,CIMMYTMA-025574,1980-01-01,2,12,112,-25,-60,55.4711386792968
G29156,SEEDGWAS523,CIMMYTMA-025577,1980-01-01,3,1,93,-24.965509,-58.818594,56.2188028779793
G29157,SEEDGWAS1732,CIMMYTMA-025580,1980-01-01,3,1,86,-26.187077,-59.376539,56.7797706949929
G29158,SEEDGWAS524,CIMMYTMA-025581,1980-01-01,3,1,98,-25.154213,-59.272377,56.0623381817806
G29163,SEEDGWAS525,CIMMYTMA-025582,1980-01-01,3,1,92,-26.15,-59.63,56.5882728743136
G29165,SEEDGWAS1733,CIMMYTMA-025583,1980-01-01,3,1,102,-25.33,-59.68,55.9298744833008
G29169,SEEDGWAS3348,CIMMYTMA-025590,,12,10,312,-27.263074,-65.193647,54.0966923518035
G29170,SEEDGWAS4031,CIMMYTMA-025593,,1,11,472,-28.05,-64.8,54.9679124424221
G29172,SEEDGWAS2639,CIMMYTMA-025599,1980-01-01,1,11,1231,-27.67,-67.03,53.414495843149
G29177,SEEDGWAS4190,CIMMYTMA-025602,1980-01-01,1,11,1443,-27.5,-66.97,53.3043506606898
G29180,SEEDGWAS4191,CIMMYTMA-025611,1980-01-01,12,10,1055,-27.589584,-66.305555,53.7435636675899
G29183,SEEDGWAS4841,CIMMYTMA-025619,,12,10,591,-31.45052,-66.382503,56.9623053183583
G29183,SEEDGWAS2264,CIMMYTMA-025619,,12,10,591,-31.45052,-66.382503,56.9623053183583
G29184,SEEDGWAS4842,CIMMYTMA-025621,,1,11,787,-30.847071,-66.712883,56.2750580073903
G29184,SEEDGWAS2265,CIMMYTMA-025621,,1,11,787,-30.847071,-66.712883,56.2750580073903
G29187,SEEDGWAS3349,CIMMYTMA-025622,1980-01-01,1,11,787,-30.847071,-66.712883,56.2750580073903
G29189,SEEDGWAS3660,CIMMYTMA-025632,1980-01-01,2,12,1491,-30,-67.83333333,54.9712299663186
G29235,SEEDGWAS2266,CIMMYTMA-025635,,1,11,477,-30.377406,-66.303177,56.0901724450341
G29235,SEEDGWAS4843,CIMMYTMA-025635,,1,11,477,-30.377406,-66.303177,56.0901724450341
G29236,SEEDGWAS4958,CIMMYTMA-025639,,2,12,1681,-29.503681,-67.769458,54.5785091382746
G29236,SEEDGWAS2640,CIMMYTMA-025639,,2,12,1681,-29.503681,-67.769458,54.5785091382746
G29239,SEEDGWAS3350,CIMMYTMA-025656,1980-01-01,12,10,1015,-31.98,-64.67,58.3166945863513
G29240,SEEDGWAS2267,CIMMYTMA-025664,1980-01-01,12,10,565,-31.635529,-64.410852,58.166645171591
G29241,SEEDGWAS2268,CIMMYTMA-025667,1980-01-01,12,10,565,-31.635529,-64.410852,58.166645171591
G29244,SEEDGWAS2269,CIMMYTMA-025690,1986-01-01,6,4,953,-33.77,-69.03,57.6725443480499
G29246,SEEDGWAS4032,CIMMYTMA-025701,1980-01-01,2,12,819,-32.423574,-65.014654,58.5082268193382
G29247,SEEDGWAS4844,CIMMYTMA-025704,,12,10,541,-33.16666667,-66.61666667,58.3170764274077
G29247,SEEDGWAS2270,CIMMYTMA-025704,,12,10,541,-33.16666667,-66.61666667,58.3170764274077
G29252,SEEDGWAS4845,CIMMYTMA-025708,,12,10,682,-32.95,-66.43,58.2245134741183
G29252,SEEDGWAS2271,CIMMYTMA-025708,,12,10,682,-32.95,-66.43,58.2245134741183
G29256,SEEDGWAS3351,CIMMYTMA-025720,1980-01-01,12,10,1009,-33.245429,-66.166014,58.613101309016
G29260,SEEDGWAS4033,CIMMYTMA-025728,1981-07-05,3,1,189,-35.889091,-64.301435,61.838209819148
G29261,SEEDGWAS3103,NA,NA,NA,NA,NA,NA,NA,NA
G29261,SEEDGWAS4846,NA,NA,NA,NA,NA,NA,NA,NA
G29270,SEEDGWAS526,CIMMYTMA-025780,1972-01-01,7,5,550,17.13333333,-93.3,2.68462669461597
G29271,SEEDGWAS527,CIMMYTMA-025788,1972-01-01,7,5,812,16.76666667,-93.38333333,2.63865469150479
G29272,SEEDGWAS528,CIMMYTMA-025790,1974-04-10,7,5,87,19.62,-89,7.38531985074296
G29273,SEEDGWAS1036,CIMMYTMA-025799,1972-01-01,7,5,523,17.1,-93.21666667,2.76912509115148
G29276,SEEDGWAS3661,NA,NA,NA,NA,NA,NA,NA,NA
